id,en,ja,de,fr
1,pacifier,おしゃぶり,Schnuller,tétine
2,Labelle sunglasses,ケイトのサングラス,Samthea-Sonnenbrille,monture solaire Maria
3,Nook Inc. eye mask,たぬきかいはつアイマスク,Nook-Inc.-Augenmaske,masque repos Nook Inc.
4,DAL eye mask,ＤＡＬアイマスク,DAL-Augenmaske,masque repos DAL
5,DAL sunglasses,ＤＡＬサングラス,DAL-Sonnenbrille,monture solaire DAL
6,beak,くちばし,Schnabel,bec
7,handlebar mustache,カイゼルひげ,Zwirbelbart,moustache en guidon
8,rimmed glasses,まるめがね,Laborbrille,monture intello
9,square glasses,スクエアめがね,Rechteckbrille,monture rectangulaire
10,heart shades,ハートのサングラス,Herzchenbrille,monture cœur
11,browline glasses,サーモントめがね,Browline-Brille,monture browline
12,octagonal glasses,オクタゴンめがね,Achteckbrille,monture octogonale
13,star shades,ほしのサングラス,Sternenbrille,monture étoiles
14,round shades,ボストンめがね,Rundsonnenbrille,monture solaire ronde
15,triangle shades,さんかくサングラス,Dreiecksbrille,monture triangle
16,double-bridge glasses,ダブルブリッジめがね,Doppelstegbrille,monture double pont
17,glass-bottle glasses,ビンぞこめがね,Flaschenglasbrille,monture double foyer
18,shattered glasses,ヒビわれめがね,Kaputten Brille,monture à verres brisés
19,eye mask,アイマスク,Augenmaske,masque repos
20,doctor's mask,マスク,Mundschutzes,masque chirurgical
21,post-op patch,がんたい,Augenverband,pansement oculaire
22,ski goggles,スキーゴーグル,Skibrille,masque de ski
23,goggles,すいえいゴーグル,Schwimmbrille,monture piscine
24,retro shades,レトロなサングラス,Retro-Sonnenbrille,monture rétro irisée
25,eye patch,アイパッチ,Augenklappe,cache-œil
26,sporty shades,スポーツサングラス,Sportbrille,monture sport
27,pilot shades,パイロットサングラス,Pilotenbrille,monture pilote
28,tortoise specs,べっこうめがね,Kunststoffbrille,monture tortue
29,tiny shades,ちいさいサングラス,Minisonnenbrille,monture mini
30,monocle,モノクル,Monokel,monocle
31,3D glasses,3Dめがね,3D-Brille,monture 3D
32,ladder shades,ブラインドサングラス,Lamellenbrille,monture stores
33,cat nose,ネコのつけばな,Katzenschnauze,museau de chat
34,cucumber pack,きゅうりパック,Gurkenmaske,masque concombre
35,fake nose,つけばな,Clownsnase,nez de clown
36,stache & glasses,ヒゲメガネ,Schnauzerbrille,kit rigolo
37,birthday shades,バースデーサングラス,Geburtstagsbrille,monture anniversaire
38,facial mask,パック,Kosmetikmaske,masque de beauté
39,funny glasses,をかしなめがね,Scherzbrille,monture farceuse
40,cyber shades,サイバーサングラス,Cyberbrille,monture futuriste
41,bottom-rimmed glasses,アンダーリムめがね,Halbrandbrille,monture demi-lune
42,bunny nose,ウサギのつけばな,Hasenschnauze,museau de lapin
43,round tinted shades,ラウンドサングラス,Kunststoffsonnenbrille,monture teintée ronde
44,butterfly shades,バタフライサングラス,Schmetterlingsbrille,monture solaire papillon
45,oval glasses,オーバルめがね,Eiformbrille,monture polymère ovale
46,pixel shades,ドットサングラス,Pixelbrille,monture pixel
47,pig nose,ブタのつけばな,Schweinsnase,groin de cochon
48,gas mask,ガスマスク,Gasmaske,masque à gaz
49,sticky rice,ごはんつぶ,Reisrest,reste de riz
50,masquerade mask,ベネチアンマスク,Ballmaske,loup
51,wooden-frame glasses,ウッドフレームめがね,Holzbrille,demi-monture en bois
52,privacy mask,カラスマスク,Inkognito-Maske,masque d'anonymat
53,curly mustache,まきヒゲ,Schnauzbart,moustache élégante
54,goatee,アゴひげ,Ziegenbart,barbiche
55,bandage,ばんそうこう,Pflaster,lot de pansements
56,jester's mask,ピエロのかめん,Clownsmaske,masque de clown
57,rounded beard,ラウンドひげ,Rundbart,collier de barbe
58,leaf,はっぱ,Blattes,feuille
59,rhinestone shades,ラインストーンめがね,Strassbrille,monture strass
60,superhero mask,ヒーローマスク,Superheldenmaske,masque de héros
61,steampunk glasses,スチームパンクなゴーグル,Steampunkbrille,monture steampunk
62,HMD,HMD,Cyberhelmes,visiocasque
63,night-vision goggles,ナイトビジョン,Nachtsichtbrille,paire de jumelles IR
64,dog nose,イヌのつけばな,Hundeschnauze,museau de chien
65,candy-skull mask,スカルキャンディマスク,Calavera-Maske,masque calavera fleuri
66,bubblegum,ふうせんガム,Kaugummiblase,bulle de chewing-gum
67,flower sunglasses,フラワーサングラス,Blumensonnenbrille,monture solaire fleurs
68,drinking-straw glasses,ストローメガネ,Strohhalmbrille,monture paille
69,nose drip,はなみず,Rotznase,goutte de morve
70,food mess,たべこぼし,Essensrest,vestige de repas
71,reflector,はんしゃきょう,Arztspiegel,réflecteur de dentiste
72,pleather mask,レザーマスク,Kunstledermaske,masque en similicuir
73,knitted-grass backpack,くさあみリュック,Grasgeflecht-Rucksack,sac à dos végétal tressé
74,hard-shell backpack,ハードシェルリュック,Hartschalenrucksack,sac à dos rigide
75,Nook Inc. knapsack,たぬきかいはつナップサック,Nook-Inc.-Beutel,sac à dos Nook Inc.
76,DAL backpack,ＤＡＬのバッグ,DAL-Rucksack,sac à dos Dodo Airlines
77,Bunny Day bag,イースターなバッグ,Häschentag-Rucksack,sac fête des œufs
78,town backpack,タウンリュック,Urban-Rucksack,sac à dos urbain
79,travel pouch,トラベルポーチ,Reisetäschchen,sacoche de voyage
80,messenger bag,メッセンジャーバッグ,Kuriertasche,besace
81,dry bag,ドライサック,Regenrucksack,sac imperméable
82,pleather shoulder bag,レザーショルダー,Kunstlederumhängetasche,sac à bandoulière similicuir
83,fish pochette,おさかなポシェット,Fischlein-Pochette,pochette poisson
84,tackle bag,フィッシングバッグ,Anglertasche,sac de pêche
85,bug cage,ムシかご,Insektenfangtasche,cage à insectes
86,faux-fur bag,フェイクファーバッグ,Kunstfelltäschchen,sac en fausse fourrure
87,pleather fringe bag,フリンジレザーバッグ,Kunstlederfransentasche,sac à franges
88,hand-knit pouch,てあみポーチ,Häkelhandtasche,pochette tricotée
89,crossbody bag,ボディバッグ,Hüfttasche,sac transversal
90,pleather crossbody bag,レザーボディバッグ,Kunstleder-Umhängetasche,sac transversal similicuir
91,crossbody boston bag,ななめかけボストン,Sporttasche,sac Boston en bandoulière
92,gumdrop shoulder bag,はるのみずたまショルダー,Frühlings-Umhängetasche,sac bandoulière bonbons
93,cloth shoulder bag,はんぷショルダー,Leinenumhängetasche,sac bandoulière en toile
94,straw pochette,ラタンポシェット,Rattan-Pochette,pochette en paille
95,star pochette,スターなポシェット,Sternchen-Pochette,pochette étoile
96,cherry-blossom pochette,さくらのポシェット,Kirschblüten-Pochette,pochette fleur de cerisier
97,maple-leaf pochette,もみじのポシェット,Ahorn-Pochette,pochette feuille d'érable
98,acorn pochette,どんぐりポシェット,Eichel-Pochette,pochette gland
99,snowflake pochette,スノーフレークポシェット,Schneeflocken-Pochette,pochette flocon
100,shellfish pochette,かいがらポシェット,Muschel-Pochette,pochette coquillage
